992730-99999,+32.500,-079.100,+0000.0,19790213,20170522
023420-99999,+62.517,+016.183,+0105.0,19770701,19960103
108930-99999,+48.583,+013.467,+0409.0,19490101,19921231
307770-99999,+52.233,+117.700,+0525.0,19320101,20170522
589650-99999,+25.050,+121.217,+0048.0,19560820,20030222
789505-99999,+12.888,-061.180,+0002.4,20070702,20140710
410310-99999,+21.417,+039.867,+0394.0,20050112,20160916
060730-99999,+56.100,+010.517,+0006.0,19770401,20170522
998303-99999,+19.699,-080.061,+0005.9,20090731,20121023
409410-99999,+34.883,+065.300,+2070.0,19580101,19890519
593450-99999,+23.517,+119.567,+0022.0,19560820,19910321
749523-99999,+41.500,+015.333,+0125.0,19440204,19450524
070930-99999,+48.982,+006.251,+0265.2,19920408,20170522
477790-99999,+34.596,+135.603,+0011.9,19730101,20170522
715360-99999,+49.483,-112.683,+0937.0,20040805,20170522
997271-99999,+40.701,-074.014,+0010.0,20050104,20170522
383530-99999,+42.850,+074.533,+0760.0,19460103,20170522
720316-99999,+27.783,-097.683,+0024.0,20040716,20051231
106430-99999,+49.950,+008.967,+0131.0,19850509,19860330
999999-12884,+29.333,-089.408,+0000.9,19650201,20170523
700635-99999,+68.483,-149.483,+0814.0,19750108,20051229
999999-12881,+27.950,-080.567,+0009.1,19620315,19670712
724085-99999,+40.082,-075.011,+0037.0,20000101,20031231
170680-99999,+40.850,+029.900,+0070.0,19990315,20170522
102770-99999,+53.150,+013.033,+0062.0,19911003,20030816
745048-93210,+39.490,-121.618,+0057.9,20060101,20170523
845050-99999,-08.133,-078.167,+3129.0,19870628,19880214
723320-93862,+34.262,-088.771,+0110.0,19910301,20170523
682620-99999,-25.733,+028.183,+1322.0,19490101,20170522
826830-99999,-06.000,-040.417,+0399.0,19891201,20170522
640085-99999,+00.482,+025.338,+0431.9,20110602,20170522
685380-99999,-30.667,+024.017,+1287.0,19930701,20170522
866560-99999,-12.517,-040.283,+0251.4,20160704,20170522
997248-99999,+21.900,-044.200,+0000.0,20060201,20170522
720731-00261,+27.283,-096.733,+0000.3,20130101,20131023
749009-99999,+53.467,-000.700,+0240.0,19430301,19430630
175150-99999,+35.200,+033.350,+0131.0,20050323,20170522
378660-99999,+40.467,+050.317,-0024.0,19590101,19991205
749471-99999,+00.000,+000.000,+0000.0,19450401,19450430
031610-99999,+55.700,-003.217,+0195.0,19730108,20060316
040500-99999,+64.067,-020.250,+0121.0,19510101,20050610
036580-99999,+51.616,-001.096,+0068.9,19730101,20170522
726710-99999,+42.567,-110.100,+2124.0,19780310,19981231
999999-11650,+18.500,-069.750,+0035.1,19650514,19660918
967370-99999,-06.117,+106.133,+0040.0,19420101,20170522
035963-35048,+52.133,+001.433,+0026.0,19930104,19930331
681900-99999,-23.937,+031.155,+0436.5,19580101,20140526
066870-99999,+47.133,+009.217,+0423.0,20111024,20170522
486920-99999,+01.417,+103.883,+0014.0,19620501,20040605
039640-99999,+53.283,-009.017,+0021.0,19780616,20040928
920870-99999,-10.683,+152.833,+0007.0,19970101,20160229
949150-99999,-36.400,+148.400,+1735.0,19900201,20170522
911780-22551,+21.317,-158.067,+0010.1,20060101,20170523
718030-99999,+48.937,-054.568,+0151.2,19410630,20170522
820220-99999,+02.846,-060.690,+0084.1,19730101,20170522
480600-99999,+21.300,+099.617,+0828.0,19581122,20170522
874980-99999,-33.583,-059.267,+0004.0,19730101,19840124
419660-99999,+22.533,+092.200,+0063.0,19830406,20170522
710871-99999,+56.500,-094.200,+0087.0,19571001,19630731
557730-99999,+27.733,+089.083,+4300.0,19560820,20170522
696924-99999,+00.000,+000.000,+0000.0,19891221,19981011
938450-99999,-46.417,+168.333,+0002.0,19890516,20170522
121420-99999,+54.567,+018.517,+0070.0,20020601,20170522
110380-99999,+48.067,+016.533,+0205.0,19400411,19440831
851960-99999,-16.250,-062.100,+0497.0,19420801,20170522
013460-99999,+60.650,+007.267,+1162.0,20111125,20170522
726399-99999,+45.950,-086.230,+0178.0,19760116,20040920
997293-99999,+41.550,-082.900,+0190.0,20050201,20170522
782623-99999,+20.786,-076.315,+0110.0,19920408,20170522
726030-99999,+43.833,-066.083,+0048.0,19730101,19770630
720947-99999,+47.423,-098.106,+0434.0,20110601,20130430
999999-94702,+41.158,-073.129,+0005.2,19470601,19721231
999999-94700,+44.576,-071.179,+0353.0,20050101,20051231
265540-99999,+55.817,+027.950,+0132.0,19590101,20170522
577060-99999,+00.000,+000.000,-0999.0,19801001,20010715
224080-99999,+65.217,+031.167,+0120.0,19460901,20170522
747917-99999,+32.900,-079.783,+0003.7,20081208,20170522
999999-14817,+44.283,-085.417,+0398.4,19481201,19550101
999999-14816,+41.233,-089.617,+0242.0,19481201,19550101
999999-14815,+42.308,-085.251,+0286.2,19490101,19550101
726839-94196,+44.404,-118.963,+1126.8,20060102,20061122
999999-14813,+41.038,-081.464,+0335.6,19480101,19480701
999999-14812,+41.283,-080.200,+0394.1,19480101,19480915
720604-99999,+33.717,-079.857,+0020.4,20090105,20161010
999999-14819,+41.786,-087.752,+0188.4,19480101,19721231
427820-99999,+21.988,+082.111,+0274.0,20110724,20170522
060223-99999,+55.722,+004.802,+0095.1,20120821,20170522
749300-99999,+41.250,+013.083,+0450.0,19440602,19440606
723177-99999,+36.467,-080.550,+0380.0,20010811,20051231
828820-99999,-08.133,-041.133,+0375.0,19910726,20070925
955430-99999,-25.617,+151.617,+0112.0,20030330,20170522
722236-99999,+30.230,-088.030,+0001.0,19750916,19771211
785145-11653,+18.254,-067.149,+0011.6,20050101,20170512
335620-99999,+49.233,+028.600,+0298.0,19460403,20170522
827960-99999,-07.267,-035.883,+0500.0,19930101,20070925
470390-99999,+40.167,+126.250,+0155.0,19760401,20170522
878960-99999,-47.735,-065.904,+0081.1,19390201,20170522
725472-99999,+42.000,-093.617,+0291.0,19970123,20051231
997418-99999,+80.130,-179.630,+0003.0,20050720,20160831
467650-99999,+23.883,+120.850,+1015.0,19730101,19990221
430170-99999,+19.133,+076.833,+0422.0,19440101,20170522
042120-99999,+70.683,-052.117,+0002.0,19500711,20061116
825980-99999,-05.767,-035.200,+0045.0,19310104,20070925
948640-99999,-37.728,+144.902,+0086.0,19471231,20170522
110260-99999,+48.450,+015.633,+0312.0,20041211,20050315
133765-99999,+43.817,+020.583,+0209.0,20100527,20100527
010240-99999,+78.650,+016.367,+0020.0,19730101,20170522
822940-99999,-02.883,-040.133,+0016.0,19891201,20070417
067180-99999,+46.383,+006.900,+0373.0,19770104,20030710
719290-99999,+68.750,-109.067,+0092.0,19570801,20020224
296320-99999,+55.300,+083.600,+0215.0,19530216,20020102
172340-99999,+37.850,+027.850,+0056.0,19821101,20170522
367780-99999,+45.000,+078.383,+0602.0,19590101,20040731
027190-99999,+67.817,+027.750,+0240.0,20080116,20170522
720351-54919,+41.226,-092.491,+0256.0,20060101,20170523
125220-99999,+50.867,+016.717,+0217.0,19400414,19420630
720278-99999,+36.687,-077.483,+0039.0,20040525,20051231
607200-99999,+36.850,+011.083,+0030.0,19430524,20170522
374040-99999,+42.133,+043.017,+0148.0,19590102,20070823
831110-99999,-22.983,-043.367,+0003.0,19770601,20170522
033220-99999,+53.550,-002.917,+0056.0,19780801,20020215
710640-99999,+69.030,-107.820,+0165.0,19981224,20170522
718410-99999,+50.283,-088.900,+0323.0,19500101,20170522
011760-99999,+68.567,+016.267,+0025.0,19730101,19780118
689160-99999,-34.350,+018.500,+0238.0,19730101,20170522
726396-00422,+39.050,-105.516,+3438.1,20150317,20170523
030930-99999,+57.683,-002.000,+0019.0,19730308,19900718
729350-99999,+60.850,-115.767,+0166.0,19730101,19770727
712170-99999,+50.267,-113.350,+1006.0,20021212,20170522
725156-99999,+42.150,-076.883,+0291.0,20000101,20031231
866640-99999,-13.450,-056.667,+0351.5,20110213,20170522
308530-99999,+51.633,+114.317,+0616.0,19530216,20020614
160990-99999,+45.648,+012.194,+0018.0,19660901,20170522
725306-99999,+42.083,-087.817,+0199.0,20050905,20050905
968570-99999,-08.200,+111.050,+0001.0,19810501,20050219
642090-99999,-04.950,+014.133,+0236.0,19730618,19781006
102810-99999,+53.602,+013.306,+0069.5,19920630,20130930
722248-53995,+30.131,-093.376,+0003.4,20061024,20170523
414520-99999,+14.000,+044.333,+1920.0,20010916,20170208
724287-99999,+41.567,-083.483,+0190.0,19980514,20051231
101630-99999,+53.417,+011.783,+0044.0,19520101,19601231
948450-99999,-38.383,+143.600,+0248.0,19900201,20000831
838420-99999,-25.405,-049.232,+0931.8,19310101,20170522
723069-93753,+34.833,-077.617,+0029.3,20060101,20170523
767130-99999,+18.630,-091.830,+0002.0,20100313,20110118
375450-99999,+41.667,+044.950,+0495.0,19320101,20140918
542350-99999,+42.500,+122.133,+0183.0,19731006,20021121
879120-99999,-50.017,-068.579,+0110.9,19390201,20150609
128603-99999,+47.078,+017.968,+0280.1,19960403,20040914
997353-99999,+27.750,-082.620,+0010.0,20050322,20170522
135880-99999,+42.017,+021.400,+0301.0,20011113,20170522
688230-99999,-33.183,+022.017,+0544.0,19970703,20170522
703894-99999,+55.567,-133.067,+0024.0,19801015,19991231
749279-99999,+35.167,+008.917,+0622.0,19430331,19430414
